Sr,Status,Area,Functionality,Purpose,Where to run / test,Procedure (what you do) — step by step,Where the response appears,Expected response / pass,If it fails — what to check,Why pending,Blocker owner,How to fix — step by step
1,COMPLETE,WhatsApp bot,Inbound chat + PBMP AI reply,User sends a question on WhatsApp; Gemini/PBMP answers automatically,Personal WhatsApp → business number +91 9370239600,"1) Open WhatsApp on your phone.
2) Open the chat: Grow24 / 9370239600.
3) Send hello or What is PBMP?
4) Wait 5–15 seconds.",Same WhatsApp chat (reply from 9370239600),An AI text reply arrives (PBMP / Grow24 explanation). The bot must not stay silent.,"If nothing arrives, open https://pbmpchatbotbackend.zeabur.app/whatsapp/status — status should be active.",Not pending — this item is live,,
2,COMPLETE,WhatsApp bot,Main menu (1–7),"Give the user guided options: ask, book, form, agent, voice, help, catalogue",WhatsApp chat 9370239600,"1) Send menu.
2) A numbered list arrives.
3) Try 1 through 7 separately.",Same WhatsApp chat,"Text menu: 1 Ask, 2 Book, 3 Form, 4 Agent, 5 Voice, 6 Help, 7 Catalogue. (Native buttons return 404 on WAPI — text fallback is correct.)","If the menu is slow/times out: the first attempt hits WAPI interactive 404, then skips interactive for 30 minutes.",Not pending — this item is live,,
3,COMPLETE,Menu 1,Ask → PBMP / Grow24 AI,Answer product and platform questions,WhatsApp chat,"1) Send menu → 1
2) Then 1 (PBMP / Grow24)
3) Send What is Grow24?",Same WhatsApp chat,A detailed AI answer about Grow24/PBMP.,Do not choose Other (2) for this test — that path is math/media.,Not pending — this item is live,,
4,COMPLETE,Menu 1,Ask → Other: Python math,Run simple calculations from WhatsApp,WhatsApp chat,"1) Send menu → 1 → 2 (Other)
2) Send 3+4 or Zeabur-python-add (3,4)",Same WhatsApp chat,A result such as 3+4=7,"If the Python script is missing, an error text is returned.",Not pending — this item is live,,
5,COMPLETE,Menu 1,Ask → Other: media commands,Send uploaded image/video/audio/gif on WhatsApp,WhatsApp chat,"1) Send menu → 1 → 2
2) Send image1 or video1 / audio1 / gif1",Same WhatsApp chat — media bubble,The file can be played or downloaded. Files are served from Zeabur /media.,If the file is missing: command help text. API test: POST /whatsapp/test-media,Not pending — this item is live,,
6,COMPLETE,Menu 2,Meeting booking flow,Book a meeting in chat and save a CRM lead,WhatsApp chat,"1) Send 2
2) Name → Email → Phone → Date → Time
3) Confirm with yes","1) WhatsApp confirmation message
2) CRM /api/leads (source=whatsapp_booking)",Summary + thank you. The lead appears in CRM.,Sending menu in the middle of the flow can reset it.,Not pending — this item is live,,
7,COMPLETE (fallback live),Menu 3,Forms — HTML browser links (fallback),Open a browser form when the in-chat Flow is not available,WhatsApp + phone browser,"1) Send 3
2) If the Open Form button does not appear, tap the booking/support URL
3) Fill the form → Submit
Direct URLs:
https://pbmpchatbotbackend.zeabur.app/forms/booking.html
https://pbmpchatbotbackend.zeabur.app/forms/support.html",Browser thank-you + CRM lead. Link message in WhatsApp.,Form submit succeeds. Lead is saved.,The native in-chat Flow is a separate pending item (Publish + WAPI).,Not pending — this item is live,,
8,COMPLETE,Menu 4,Human handoff,Pause the bot and let a human agent take the chat,WhatsApp chat + optional team email,"1) Send 4 or agent / talk to human
2) Type the question (the bot will not run AI)
3) Resume AI with bot or resume","1) User WhatsApp: connecting message
2) Team email (grow24.ai.collaboration@gmail.com) if env is set
3) GET /whatsapp/handoffs","Handoff is ON. After bot, AI resumes.","Agent reply API: POST /whatsapp/agent-reply {phone,message,keepHandoff:true}",Not pending — this item is live,,
9,COMPLETE,Menu 5,Voice call card + callback (click-to-call) — not VoIP,Show the phone number and accept a callback request. This does not pick up an in-WhatsApp call.,WhatsApp chat,"1) Send 5 — dial card / number / hours
2) Send callback or call me — callback request",Same WhatsApp chat. Callback notifies the team (email/webhook).,"Number 9370239600, hours, callback confirmation.",This is not Meta Calling (VoIP) — that item is still partial/pending.,Not pending — this item is live,,
10,COMPLETE,Menu 6,Help / commands,List all commands,WhatsApp chat,Send 6 or help or commands,Same WhatsApp chat,"Commands list: menu, 1–7, STOP/START, bot, callback, media names.",,Not pending — this item is live,,
